date,export,import,diff
2019-01-01,"₩46,168,934 ","₩45,153,389 ","₩1,015,545 "
2019-02-01,"₩39,481,803 ","₩36,651,437 ","₩2,830,366 "
2019-03-01,"₩47,003,206 ","₩41,992,349 ","₩5,010,857 "
2019-04-01,"₩48,781,156 ","₩45,047,164 ","₩3,733,992 "
2019-05-01,"₩45,703,948 ","₩43,619,667 ","₩2,084,281 "
2019-06-01,"₩44,008,404 ","₩40,104,812 ","₩3,903,592 "
2019-07-01,"₩46,078,221 ","₩43,762,245 ","₩2,315,976 "
2019-08-01,"₩44,020,065 ","₩42,457,250 ","₩1,562,815 "
2019-09-01,"₩44,629,053 ","₩38,741,473 ","₩5,887,580 "
2019-10-01,"₩46,648,756 ","₩41,396,517 ","₩5,252,239 "
2019-11-01,"₩44,040,722 ","₩40,729,215 ","₩3,311,507 "
2019-12-01,"₩45,668,341 ","₩43,687,430 ","₩1,980,911 "
2020-01-01,"₩43,103,061 ","₩42,718,100 ","₩384,961 "
2020-02-01,"₩40,911,819 ","₩36,977,247 ","₩3,934,572 "
2020-03-01,"₩46,167,204 ","₩41,803,860 ","₩4,363,344 "
2020-04-01,"₩36,270,183 ","₩37,932,611 ","(₩1,662,428)"
2020-05-01,"₩34,854,511 ","₩34,661,974 ","₩192,537 "
2020-06-01,"₩39,214,071 ","₩35,794,860 ","₩3,419,211 "
2020-07-01,"₩42,785,144 ","₩38,849,185 ","₩3,935,959 "
2020-08-01,"₩39,469,231 ","₩35,817,929 ","₩3,651,302 "
2020-09-01,"₩47,819,948 ","₩39,400,190 ","₩8,419,758 "
2020-10-01,"₩44,818,534 ","₩39,093,795 ","₩5,724,739 "
2020-11-01,"₩45,751,883 ","₩39,944,763 ","₩5,807,120 "
2020-12-01,"₩51,332,449 ","₩44,638,246 ","₩6,694,203 "
2021-01-01,"₩48,006,974 ","₩44,456,822 ","₩3,550,152 "
2021-02-01,"₩44,706,907 ","₩42,404,636 ","₩2,302,271 "
2021-03-01,"₩53,690,914 ","₩49,742,555 ","₩3,948,359 "
2021-04-01,"₩51,225,991 ","₩50,891,152 ","₩334,839 "
2021-05-01,"₩50,725,161 ","₩47,910,522 ","₩2,814,639 "
2021-06-01,"₩54,778,905 ","₩50,429,027 ","₩4,349,878 "
2021-07-01,"₩55,461,518 ","₩53,676,256 ","₩1,785,262 "
2021-08-01,"₩53,165,104 ","₩51,581,093 ","₩1,584,011 "
2021-09-01,"₩55,913,862 ","₩51,636,341 ","₩4,277,521 "
2021-10-01,"₩55,660,373 ","₩53,847,824 ","₩1,812,549 "
2021-11-01,"₩60,330,542 ","₩57,357,549 ","₩2,972,993 "
2021-12-01,"₩60,734,117 ","₩61,159,671 ","(₩425,554)"
2022-01-01,"₩55,455,376 ","₩60,606,721 ","(₩5,151,345)"
2022-02-01,"₩54,155,835 ","₩53,482,054 ","₩673,781 "
