Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2009-11-12,1598.55,1603.01,1572.72,1572.73,282770926,-0.0139,2,-22.09,4843811450801,826249190001565
2009-11-13,1581.6,1587.07,1561.93,1571.99,260027770,-0.0005,2,-0.74,4194425107491,825815430012810
2009-11-16,1577.63,1592.48,1566.83,1592.47,246309561,0.013000000000000001,1,20.48,4018462494683,836495190430710
2009-11-17,1599.79,1602.67,1585.97,1585.98,295962772,-0.0040999999999999995,2,-6.49,4919238390012,833215207950130
2009-11-18,1595.88,1612.63,1594.86,1603.97,279956131,0.0113,1,17.99,5197111640071,842799236366205
2009-11-19,1608.94,1625.35,1608.58,1620.54,281502573,0.0103,1,16.57,4792546326046,852497366950455
2009-11-20,1613.28,1624.9,1612.32,1620.6,262293308,0.0,1,0.06,3697537284597,852594088119460
2009-11-23,1623.8,1630.41,1611.73,1619.05,256974460,-0.001,2,-1.55,3459036585728,851829793917675
2009-11-24,1626.93,1627.11,1601.14,1606.42,397849523,-0.0078000000000000005,2,-12.63,4899767820290,845192219368995
2009-11-25,1608.83,1614.9,1599.08,1611.88,287006751,0.0034000000000000002,1,5.46,3494400214671,848151929631890
2009-11-26,1606.73,1621.21,1599.51,1599.52,282560061,-0.0077,2,-12.36,4141725881827,841866403167545
2009-11-27,1574.56,1581.44,1519.4,1524.5,389951336,-0.046900000000000004,2,-75.02,5495562398698,802431710890215
2009-11-30,1547.65,1566.51,1547.65,1555.6,311492286,0.0204,1,31.1,4583796537678,819088120800330
2009-12-01,1550.35,1569.72,1541.09,1569.72,304882011,0.0091,1,14.12,4579360675678,826340531419325
2009-12-02,1582.62,1597.12,1579.99,1591.63,329365627,0.013999999999999999,1,21.91,4827790602474,837775151781230
2009-12-03,1597.31,1615.0,1594.5,1615.0,282331297,0.0147,1,23.37,4435786489618,850095313400995
2009-12-04,1609.07,1629.8,1608.39,1624.76,281880486,0.006,1,9.76,4532395805679,855067928165850
2009-12-07,1633.3,1635.72,1625.44,1632.65,267038099,0.0049,1,7.89,3938682196413,859379777893695
2009-12-08,1630.78,1638.22,1622.31,1627.78,355531784,-0.003,2,-4.87,3597213926845,857126981585500
2009-12-09,1615.65,1634.17,1609.81,1634.17,354625507,0.0039000000000000003,1,6.39,4601875844885,860780315667920
2009-12-10,1635.58,1652.73,1612.71,1652.73,470001409,0.011399999999999999,1,18.56,7737584573764,870445385478525
2009-12-11,1650.57,1664.05,1641.54,1656.9,438802454,0.0025,1,4.17,5455222425296,872743210322075
2009-12-14,1662.74,1664.85,1644.75,1664.77,411974500,0.004699999999999999,1,7.87,5092967923519,877928753470840
